Work Year,Seniority,Employee Status,Job Role,Salary,Company Size
2020,Associate,Full Time,Data Scientist,70000,Large (more than 250 employee)
2020,Superior,Full Time,Machine Learning Scientist,260000,Small (less than 50 employee)
2020,Superior,Full Time,Big Data Engineer,85000,Medium (50-250 employee)
2020,Associate,Full Time,Product Data Analyst,20000,Small (less than 50 employee)
2020,Superior,Full Time,Machine Learning Engineer,150000,Large (more than 250 employee)
2020,Junior,Full Time,Data Analyst,72000,Large (more than 250 employee)
2020,Superior,Full Time,Lead Data Scientist,190000,Small (less than 50 employee)
2020,Associate,Full Time,Data Scientist,11000000,Large (more than 250 employee)
2020,Associate,Full Time,Business Data Analyst,135000,Large (more than 250 employee)
2020,Superior,Full Time,Lead Data Engineer,125000,Small (less than 50 employee)
2020,Junior,Full Time,Data Scientist,45000,Small (less than 50 employee)
2020,Associate,Full Time,Data Scientist,3000000,Large (more than 250 employee)
2020,Junior,Full Time,Data Scientist,35000,Medium (50-250 employee)
2020,Associate,Full Time,Lead Data Analyst,87000,Large (more than 250 employee)
2020,Associate,Full Time,Data Analyst,85000,Large (more than 250 employee)
2020,Associate,Full Time,Data Analyst,8000,Large (more than 250 employee)
2020,Junior,Full Time,Data Engineer,4450000,Small (less than 50 employee)
2020,Superior,Full Time,Big Data Engineer,100000,Small (less than 50 employee)
2020,Junior,Full Time,Data Science Consultant,423000,Medium (50-250 employee)
2020,Associate,Full Time,Lead Data Engineer,56000,Medium (50-250 employee)
2020,Associate,Full Time,Machine Learning Engineer,299000,Medium (50-250 employee)
2020,Associate,Full Time,Product Data Analyst,450000,Large (more than 250 employee)
2020,Superior,Full Time,Data Engineer,42000,Large (more than 250 employee)
2020,Associate,Full Time,BI Data Analyst,98000,Medium (50-250 employee)
2020,Associate,Full Time,Lead Data Scientist,115000,Large (more than 250 employee)
2020,Director,Full Time,Director of Data Science,325000,Large (more than 250 employee)
2020,Junior,Full Time,Research Scientist,42000,Large (more than 250 employee)
2020,Superior,Full Time,Data Engineer,720000,Small (less than 50 employee)
2020,Junior,Contractual,Business Data Analyst,100000,Large (more than 250 employee)
2020,Superior,Full Time,Machine Learning Manager,157000,Large (more than 250 employee)
2020,Associate,Full Time,Data Engineering Manager,51999,Small (less than 50 employee)
2020,Junior,Full Time,Big Data Engineer,70000,Large (more than 250 employee)
2020,Superior,Full Time,Data Scientist,60000,Large (more than 250 employee)
2020,Associate,Full Time,Research Scientist,450000,Medium (50-250 employee)
2020,Associate,Full Time,Data Analyst,41000,Large (more than 250 employee)
2020,Associate,Full Time,Data Engineer,65000,Large (more than 250 employee)
2020,Associate,Full Time,Data Science Consultant,103000,Large (more than 250 employee)
2020,Junior,Full Time,Machine Learning Engineer,250000,Large (more than 250 employee)
2020,Junior,Full Time,Data Analyst,10000,Small (less than 50 employee)
2020,Junior,Full Time,Machine Learning Engineer,138000,Small (less than 50 employee)
2020,Associate,Full Time,Data Scientist,45760,Small (less than 50 employee)
2020,Director,Full Time,Data Engineering Manager,70000,Large (more than 250 employee)
2020,Associate,Full Time,Machine Learning Infrastructure Engineer,44000,Medium (50-250 employee)
2020,Associate,Full Time,Data Engineer,106000,Large (more than 250 employee)
2020,Associate,Full Time,Data Engineer,88000,Large (more than 250 employee)
2020,Junior,Part Time,ML Engineer,14000,Small (less than 50 employee)
2020,Associate,Full Time,Data Scientist,60000,Small (less than 50 employee)
2020,Superior,Full Time,Data Engineer,188000,Large (more than 250 employee)
2020,Associate,Full Time,Data Scientist,105000,Large (more than 250 employee)
2020,Associate,Full Time,Data Engineer,61500,Large (more than 250 employee)
2020,Junior,Full Time,Data Analyst,450000,Small (less than 50 employee)
2020,Junior,Full Time,Data Analyst,91000,Large (more than 250 employee)
2020,Junior,Full Time,AI Scientist,300000,Small (less than 50 employee)
2020,Junior,Full Time,Data Engineer,48000,Large (more than 250 employee)
2020,Superior,FL,Computer Vision Engineer,60000,Small (less than 50 employee)
2020,Superior,Full Time,Principal Data Scientist,130000,Medium (50-250 employee)
2020,Associate,Full Time,Data Scientist,34000,Medium (50-250 employee)
2020,Associate,Full Time,Data Scientist,118000,Medium (50-250 employee)
2020,Superior,Full Time,Data Scientist,120000,Large (more than 250 employee)
2020,Associate,Full Time,Data Scientist,138350,Medium (50-250 employee)
2020,Associate,Full Time,Data Engineer,110000,Large (more than 250 employee)
2020,Associate,Full Time,Data Engineer,130800,Medium (50-250 employee)
2020,Junior,Part Time,Data Scientist,19000,Small (less than 50 employee)
2020,Superior,Full Time,Data Scientist,412000,Large (more than 250 employee)
2020,Superior,Full Time,Machine Learning Engineer,40000,Small (less than 50 employee)
2020,Junior,Full Time,Data Scientist,55000,Small (less than 50 employee)
2020,Junior,Full Time,Data Scientist,43200,Small (less than 50 employee)
2020,Superior,Full Time,Data Science Manager,190200,Medium (50-250 employee)
2020,Junior,Full Time,Data Scientist,105000,Small (less than 50 employee)
2020,Superior,Full Time,Data Scientist,80000,Small (less than 50 employee)
2020,Associate,Full Time,Data Scientist,55000,Small (less than 50 employee)
2020,Associate,Full Time,Data Scientist,37000,Small (less than 50 employee)
2021,Junior,Full Time,Research Scientist,60000,Large (more than 250 employee)
2021,Director,Full Time,BI Data Analyst,150000,Large (more than 250 employee)
2021,Director,Full Time,Head of Data,235000,Large (more than 250 employee)
2021,Superior,Full Time,Data Scientist,45000,Large (more than 250 employee)
2021,Associate,Full Time,BI Data Analyst,100000,Medium (50-250 employee)
2021,Associate,Part Time,3D Computer Vision Researcher,400000,Medium (50-250 employee)
2021,Associate,Contractual,ML Engineer,270000,Large (more than 250 employee)
2021,Junior,Full Time,Data Analyst,80000,Medium (50-250 employee)
2021,Superior,Full Time,Data Analytics Engineer,67000,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,140000,Large (more than 250 employee)
2021,Associate,Full Time,Applied Data Scientist,68000,Large (more than 250 employee)
2021,Associate,Full Time,Machine Learning Engineer,40000,Small (less than 50 employee)
